2021-05-21 21:27:35,779 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SeleniumProject:SeleniumProject:0.0.1-SNAPSHOT @ C:\Users\User\Desktop\Work\New folder\AutomationT\SeleniumProject\pom.xml.
2021-05-21 21:27:38,193 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SeleniumProject/src/main/java
2021-05-21 21:27:38,196 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /SeleniumProject/src/main/resources
2021-05-21 21:27:38,198 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SeleniumProject/src/test/java
2021-05-21 21:27:38,198 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /SeleniumProject/src/test/resources
2021-05-21 21:27:39,113 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-21 21:27:39,228 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-05-21 21:27:39,232 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-21 21:27:39,233 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-05-21 21:30:56,243 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-21 21:30:56,257 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-05-21 21:30:56,261 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-21 21:30:56,263 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-05-21 21:37:53,308 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SeleniumProject:SeleniumProject:0.0.1-SNAPSHOT @ C:\Users\User\Desktop\Work\New folder\AutomationT\SeleniumProject\pom.xml.
2021-05-21 21:37:58,950 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-21 21:37:58,985 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-05-21 21:37:58,990 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-21 21:37:58,991 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-05-21 21:38:01,674 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-21 21:38:01,676 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-05-21 21:38:01,679 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-21 21:38:01,680 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-05-21 21:49:14,710 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SeleniumProject:SeleniumProject:0.0.1-SNAPSHOT @ C:\Users\User\Desktop\Work\New folder\AutomationT\SeleniumProject\pom.xml.
2021-05-21 21:49:17,639 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-21 21:49:17,661 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-05-21 21:49:17,663 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-21 21:49:17,665 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
